municipality,ldp_22_vt,cdp_22_vt,komei_22_vt,jip_22_vt,jcp_22_vt,dpp_22_vt,reiwa_22_vt,sdp_22_vt,diy_22_vt,ldp_25_vt,cdp_25_vt,komei_25_vt,jip_25_vt,jcp_25_vt,dpp_25_vt,reiwa_25_vt,sdp_25_vt,diy_25_vt,mirai_25_vt,electorate_22,votes_22,electorate_25,votes_25
東大和市,11028,5012,6236,4429,4085,1909,2255,1061,1084,7170 ,249 ,5525 ,1946 ,3392 ,5094 ,2511 ,997 ,4708 ,1265 ,71167,39492,71431 ,42569 
清瀬市,10030,4422,3840,4052,4734,1860,2125,1043,1005,6907 ,217 ,3327 ,1732 ,4005 ,5190 ,2316 ,1003 ,4078 ,1260 ,62799,35144,63228 ,38508 
東久留米市,15577,7001,6095,6535,6533,2887,3270,1977,1541,10471 ,337 ,5328 ,2739 ,5547 ,8031 ,3542 ,1700 ,6062 ,2063 ,98045,54774,97240 ,59228 
武蔵村山市,8331,3046,5591,2858,2869,1243,1718,587,845,5351 ,163 ,4704 ,1297 ,2279 ,3641 ,2266 ,552 ,3925 ,655 ,58542,29134,58194 ,31263 
多摩市,19916,10438,6096,9851,7683,4125,4645,2707,2273,13873 ,504 ,5245 ,4386 ,5878 ,10401 ,4885 ,2405 ,8235 ,3450 ,125075,71746,126160 ,79142 
稲城市,13567,6124,3831,6365,3616,2989,2792,1229,1433,8556 ,289 ,3205 ,2869 ,2697 ,7428 ,2749 ,1070 ,5424 ,2439 ,75916,44685,76914 ,48603 
羽村市,7385,3239,2892,2775,2112,1380,1459,643,780,4768 ,151 ,2411 ,1259 ,1558 ,3347 ,1692 ,567 ,3045 ,772 ,45393,24138,44824 ,25694 
あきる野市,11255,4663,4433,3689,3104,1700,2116,874,1099,7525 ,284 ,3603 ,1708 ,2377 ,4398 ,2669 ,820 ,4356 ,825 ,67180,35162,66635 ,37364 
西東京市,29762,15017,8565,13150,8957,6152,6424,2984,3078,19093 ,659 ,7135 ,5605 ,6737 ,15804 ,5804 ,2893 ,11051 ,5535 ,171239,99951,171411 ,107069 
瑞穂町,4578,1472,2052,1362,839,532,791,255,352,3028 ,79 ,1683 ,600 ,644 ,1563 ,1059 ,249 ,1834 ,262 ,27176,13162,26872 ,14023 
日の出町,2548,959,1029,774,592,326,386,205,194,1696 ,64 ,859 ,327 ,467 ,749 ,459 ,164 ,799 ,169 ,13692,7457,13372 ,7515 
檜原村,478,136,172,82,56,56,55,26,25,296 ,15 ,110 ,38 ,41 ,64 ,49 ,21 ,56 ,20 ,1865,1160,1717 ,1097 
